nr,Artikelid,Varnummer,Namn,Namn2,Prisinklmoms,Volymiml,PrisPerLiter,Saljstart,Utgått,Varugrupp,Typ,Stil,Forpackning,Forslutning,Ursprung,Ursprunglandnamn,Producent,Leverantor,Argang,Provadargang,Alkoholhalt,Sortiment,SortimentText,Ekologisk,Etiskt,Koscher,RavarorBeskrivning,Pant,EtisktEtikett
680304,1188284,6803,Spring Village,Chardonnay,23.00,187.00,123.00,2017-02-15,0,Vitt vin,,,PET-flaska,,Kalifornien,USA,Spring Wine & Spirits,Spendrups Bryggeri AB,2016,,12.50%,BS,Övrigt sortiment,0,0,0,NA,1.00,NA
7425301,1188290,74253,Vieilles Vignes,Domaine Langlois Chateau Saumur Blanc,239.00,750.00,318.67,2017-02-15,0,Vitt vin,,,Flaska,,Loiredalen,Frankrike,Langlois-Chateau,Arvid Nordquist Vin och Sprithandel,2014,,14.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
226101,1188311,2261,Anciano,Crianza Tempranillo,69.00,750.00,92.00,2017-06-01,0,Rött vin,Fruktigt & Smakrikt,,Flaska,Natur,Valdepeñas,Spanien,Bodegas Navalon,The Wine Team Global AB,2014,,13.00%,FS,Ordinarie sortiment,0,0,0,Tempranillo.,NA,NA
75701,1188317,757,Grönstedts,Sidecar,159.00,500.00,318.00,2017-06-01,0,Drinkar och Cocktails,,,Flaska,,,Frankrike,Philipson Söderberg AB,Altia Sweden AB,,,25.00%,FSB,Ordinarie sortiment,0,0,0,NA,NA,NA
7086901,1188402,70869,Mandois,Zero Dosage,379.00,750.00,505.33,2017-02-15,0,Mousserande vin,Vitt Torrt,,Flaska,,Champagne,Frankrike,Henri Mandois,Theis Vine AB,,,12.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
671104,1188428,6711,Spring Village,Merlot,29.00,187.00,155.08,2017-03-01,0,Rött vin,,,PET-flaska,,Kalifornien,USA,Spring Wine & Spirits,Spendrups Bryggeri AB,2016,,13.00%,BS,Övrigt sortiment,0,0,0,NA,1.00,NA
7538801,1188470,75388,Mandois,Blanc de Blancs Premier Cru Brut,393.00,750.00,524.00,2017-02-15,0,Mousserande vin,Vitt Torrt,,Flaska,,Champagne,Frankrike,Henri Mandois,Theis Vine AB,2012,,12.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7785101,1188732,77851,Mandois,Cuvée Victor,499.00,750.00,665.33,2017-02-15,0,Mousserande vin,Vitt Torrt,,Flaska,,Champagne,Frankrike,Henri Mandois,Theis Vine AB,2007,,12.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7646301,1188755,76463,Astoria,Valdobbiadene Prosecco Superiore,120.00,750.00,160.00,2017-02-15,0,Mousserande vin,Vitt Torrt,,Flaska,Natur,Venetien,Italien,Astoria,Nelex Beverage AB,2017,,11.50%,FS,Ordinarie sortiment,0,0,0,Glera.,NA,NA
7785901,1188775,77859,Mandois,Demi Sec,329.00,750.00,438.67,2017-02-15,0,Mousserande vin,,,Flaska,,Champagne,Frankrike,Henri Mandois,Theis Vine AB,,,12.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7795201,1188840,77952,Mandois,Brut Rosé Grande Reserve,357.00,750.00,476.00,2017-02-15,0,Mousserande vin,Rosé,,Flaska,,Champagne,Frankrike,Henri Mandois,Theis Vine AB,,,12.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7399201,1188893,73992,Michel Arnould,Grand Cru Extra Brut,399.00,750.00,532.00,2017-02-15,0,Mousserande vin,Vitt Torrt,,Flaska,,Champagne,Frankrike,Michel Arnould,Theis Vine AB,,,12.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7795301,1188899,77953,Michel Arnould,Grand Cru Brut,416.00,750.00,554.67,2017-02-15,0,Mousserande vin,Vitt Torrt,,Flaska,,Champagne,Frankrike,Michel Arnould,Theis Vine AB,,,12.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7206201,1188923,72062,Vina Laguna,Festigia Castello,189.00,750.00,252.00,2017-02-15,0,Rött vin,,,Flaska,,Primorska Hrvatska,Kroatien,Agrolaguna d.d.,Triggollo Wine & Spirits AB,2013,,13.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
2020002,1188926,20200,Grönstedts National,Altia Sweden AB,759.00,500.00,1518.00,2017-05-19,0,Cognac,,,Flaska,Natur,Cognac,Frankrike,Altia Sweden AB,Altia Sweden AB,2017,,40.00%,TSE,Små partier,0,0,0,"Huvudsakligen ugni blanc, samt övriga druvsorter.",NA,NA
9118202,1188929,91182,Baumard Carte d'Or,Coteaux du Layon,109.00,375.00,290.67,2017-04-21,0,Vitt vin,Sött,,Flaska,Skruvkapsyl,Loiredalen,Frankrike,Domaine des Baumard,Origo Wine Import,2015,,11.10%,TSE,Små partier,0,0,0,Chenin blanc.,NA,NA
7301701,1188963,73017,Bourgogne Aligoté,Olivier Leflaive,199.00,750.00,265.33,2017-02-16,0,Vitt vin,,,Flaska,,Bourgogne,Frankrike,Olivier Leflaive,Johan Lidby Vinhandel AB,2013,,12.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8912003,1188969,89120,Blue Moon,Belgian White,18.90,330.00,57.27,2017-02-15,0,Öl,Veteöl,Witbier,Flaska,Kronkapsyl,,Internationellt märke,Molson Coors Brewing Company,Spendrups Bryggeri AB,,,5.40%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
