"Medelfolkmängd (efter födelseår) efter region, ålder, kön och år"

"region","ålder","kön","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"0483 Katrineholm","totalt ålder","män",15809.0,15863.5,15916.5,15937.0,16004.5,16041.0,16111.5,16285.5,16503.5,16672.0,16799.0
"0483 Katrineholm","totalt ålder","kvinnor",16298.0,16232.0,16268.0,16318.0,16361.0,16377.5,16367.5,16454.0,16595.5,16693.0,16793.0
"0484 Eskilstuna","totalt ålder","män",45499.5,46012.0,46700.0,47233.0,47645.5,48219.5,48842.5,49380.0,49956.5,50620.0,51457.0
"0484 Eskilstuna","totalt ålder","kvinnor",46443.0,46784.5,47364.0,47948.0,48298.5,48734.0,49338.0,49867.0,50369.5,50874.0,51417.5
"0486 Strängnäs","totalt ålder","män",15339.5,15517.0,15661.5,15830.5,16008.0,16175.5,16359.0,16549.5,16763.5,16950.5,17154.5
"0486 Strängnäs","totalt ålder","kvinnor",15564.0,15776.5,15913.5,16039.0,16213.5,16377.5,16520.5,16681.0,16870.0,17039.5,17201.0
"0488 Trosa","totalt ålder","män",5403.0,5450.5,5563.5,5671.0,5700.5,5711.5,5738.0,5792.0,5869.0,5968.5,6120.0
"0488 Trosa","totalt ålder","kvinnor",5488.0,5544.0,5636.5,5733.0,5753.5,5766.0,5773.0,5812.5,5903.0,6002.5,6142.5
"0509 Ödeshög","totalt ålder","män",2712.5,2681.0,2655.0,2637.0,2626.0,2605.5,2592.0,2587.0,2613.0,2638.5,2671.0
"0509 Ödeshög","totalt ålder","kvinnor",2762.0,2721.0,2705.5,2695.0,2673.0,2659.0,2630.5,2600.0,2594.0,2599.5,2614.5
"0512 Ydre","totalt ålder","män",1992.0,1962.5,1943.5,1929.5,1911.0,1906.0,1892.0,1879.0,1879.5,1884.0,1897.0
"0512 Ydre","totalt ålder","kvinnor",1852.0,1828.5,1799.5,1769.5,1761.0,1763.0,1747.0,1735.5,1759.0,1775.0,1769.5
"0513 Kinda","totalt ålder","män",4968.5,4983.5,4995.5,4965.0,4937.5,4945.5,4941.0,4929.0,4929.5,4923.5,4955.0
"0513 Kinda","totalt ålder","kvinnor",4963.5,4949.0,4920.5,4883.0,4849.0,4835.0,4830.5,4844.0,4869.0,4871.5,4879.5
"0560 Boxholm","totalt ålder","män",2699.0,2687.0,2683.5,2680.5,2668.5,2655.5,2653.0,2661.5,2685.5,2710.5,2731.5
"0560 Boxholm","totalt ålder","kvinnor",2535.0,2537.5,2558.0,2573.5,2566.0,2557.5,2552.5,2580.5,2614.5,2614.5,2619.0
"0561 Åtvidaberg","totalt ålder","män",5876.5,5875.0,5830.0,5797.5,5803.0,5798.5,5773.5,5760.5,5763.5,5805.5,5845.0
"0561 Åtvidaberg","totalt ålder","kvinnor",5872.5,5841.5,5770.5,5723.0,5698.0,5712.0,5708.0,5692.5,5702.5,5703.0,5736.0
"0562 Finspång","totalt ålder","män",10550.5,10524.0,10474.5,10469.5,10496.5,10528.5,10568.0,10615.0,10696.0,10772.0,10893.0
"0562 Finspång","totalt ålder","kvinnor",10299.5,10233.5,10171.5,10191.5,10243.5,10226.5,10209.0,10232.0,10330.5,10402.5,10469.5
"0563 Valdemarsvik","totalt ålder","män",4052.0,4001.5,3957.5,3917.0,3898.5,3885.5,3860.5,3859.5,3893.0,3946.0,4004.0
"0563 Valdemarsvik","totalt ålder","kvinnor",4028.0,3992.0,3943.0,3914.5,3887.0,3825.5,3769.0,3731.5,3728.0,3756.0,3774.0
"0580 Linköping","totalt ålder","män",69451.0,70238.5,71205.0,72444.0,73671.5,74348.5,74907.5,75668.5,76522.5,77194.5,78258.5
"0580 Linköping","totalt ålder","kvinnor",68657.0,69235.0,69910.0,70832.5,71881.5,72526.5,73020.0,73693.0,74519.0,75229.0,76133.0
"0581 Norrköping","totalt ålder","män",61765.0,62323.0,63049.0,63797.0,64352.0,64703.5,65234.0,66005.0,66813.0,67696.5,68872.5
"0581 Norrköping","totalt ålder","kvinnor",63287.5,63748.5,64321.0,64860.0,65300.0,65633.0,66139.5,66931.5,67703.0,68462.5,69326.5
"0582 Söderköping","totalt ålder","män",6990.0,6990.5,6988.5,7017.5,7038.0,7030.5,7066.0,7110.0,7142.5,7166.0,7221.5
"0582 Söderköping","totalt ålder","kvinnor",7048.0,7045.0,7001.0,6983.0,6995.0,7003.0,7027.0,7059.0,7089.0,7088.0,7099.5
"0583 Motala","totalt ålder","män",20896.5,20970.5,21004.5,20959.5,20981.5,21008.5,20986.0,21097.5,21314.0,21546.5,21777.0
"0583 Motala","totalt ålder","kvinnor",21039.0,21039.0,21002.0,20938.5,20917.5,20883.0,20861.5,20929.5,21057.5,21183.0,21303.5
"0584 Vadstena","totalt ålder","män",3690.5,3691.0,3677.5,3645.5,3615.0,3590.5,3582.0,3588.5,3605.5,3634.5,3636.5
"0584 Vadstena","totalt ålder","kvinnor",3843.5,3847.5,3828.0,3802.0,3790.5,3763.5,3745.5,3772.0,3782.5,3765.5,3741.0
"0586 Mjölby","totalt ålder","män",12656.5,12729.5,12814.5,12858.5,12935.5,13051.0,13145.5,13224.0,13297.0,13381.0,13467.0
"0586 Mjölby","totalt ålder","kvinnor",12646.5,12712.0,12780.0,12853.5,12877.5,12913.5,12988.5,13030.0,13073.5,13134.0,13188.0
"0604 Aneby","totalt ålder","män",3333.0,3311.0,3317.0,3317.0,3293.0,3281.5,3281.5,3279.0,3289.5,3319.5,3354.5
